"","X","Lng","Lat","Cid","tradeTime","DOM","followers","totalPrice","price","square","livingRoom","drawingRoom","kitchen","bathRoom","floor","buildingType","constructionTime","renovationCondition","buildingStructure","ladderRatio","elevator","fiveYearsProperty","subway","district","communityAverage"
"285485",285485,116.3652,39.93566,1111027381083,"2014-12-17",7,2,1365,70554,193.47,3,1,1,2,17,"Tower",2009,"Hardcover","Steel/Concrete",0.8,"Has_Elevator","Ownership > 5y","Has_Subway","XiCheng",85921
"78549",78549,116.417866,40.134243,1111027380409,"2017-08-07",19,123,258,40282,64.05,2,1,1,1,5,"Plate",1994,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ChangPing",34641
"130123",130123,116.457117,39.971046,1111027379247,"2013-03-11",7,0,297,39338,75.5,3,1,1,1,6,"Plate",1986,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",64989
"255853",255853,116.2338,39.90686,1111027381888,"2015-03-08",1,6,170,27253,62.38,2,1,1,1,6,"Plate",1987,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",49154
"168707",168707,116.457526,39.8764,1111027375273,"2015-11-09",7,13,220,36557,60.18,1,1,1,1,19,"Tower",2009,"Simplicit","Steel/Concrete",0.188,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",49691
"12269",12269,116.471508,40.000031,1111027374003,"2016-08-17",65,14,555,90984,61,1,1,1,1,23,"Tower",2010,"Hardcover","Steel/Concrete",0.429,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",103324
"164799",164799,116.609116,39.903738,1111027382236,"2015-10-23",7,12,274,29979,91.4,2,2,1,1,18,"Plate/Tower",2009,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",52904
"132259",132259,116.402242,39.973402,1111027375610,"2013-06-04",7,1,310,46463,66.72,2,1,1,1,16,"Plate",1987,"Other","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",71475
"115624",115624,116.560996,39.956148,1111027376683,"2012-03-16",7,0,117,15129,77.34,2,1,1,1,6,"Plate",2004,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",44510
"23495",23495,116.669984,40.190146,1111027378015,"2016-08-30",30,18,290,33721,86,2,1,1,1,15,"Plate",2012,"Hardcover","Steel/Concrete",0.667,"Has_Elevator","Ownership > 5y","No_Subway","MenTouGou",37328
"69562",69562,116.111318,39.949921,1111027377794,"2017-06-11",75,41,485,37380,129.75,3,1,1,2,6,"Plate",2003,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ShunYi",36923
"162482",162482,116.509975,39.970471,1111027374059,"2015-11-08",7,45,277,23794,116.42,3,2,1,2,28,"Tower",2001,"Hardcover","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",51827
"150655",150655,116.461647,39.99938,1111027378510,"2014-11-23",7,0,193,35491,54.38,2,1,1,1,5,"Plate",1988,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",58225
"131482",131482,116.488988,39.870064,1111027377128,"2013-03-30",7,0,183,30319,60.36,1,1,1,1,21,"Plate/Tower",2008,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",52254
"202266",202266,116.348786,39.799417,1111045269268,"2015-09-24",7,6,309,33639,91.86,2,1,1,1,21,"Plate",2012,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","FaXing",56080
"294533",294533,116.3451,39.88425,1111027376719,"2016-05-25",7,19,448,64000,70,2,1,1,1,6,"Plate",1994,"Hardcover","Mixed",0.25,"No_elevator","Ownership > 5y","No_Subway","XiCheng",86953
"160518",160518,116.481581,39.938271,1111027377990,"2015-08-10",7,15,203,38223,53.11,2,1,1,1,6,"Plate",1985,"Hardcover","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",66766
"228852",228852,116.3255,39.91124,1111027381614,"2013-01-08",1,0,294,38900,75.58,3,1,1,1,6,"Plate",1989,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","HaiDian",81571
"127265",127265,116.421317,39.984036,1111027380750,"2012-12-22",7,0,193,43245,44.63,2,1,1,1,6,"Plate",1987,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",75155
"222518",222518,116.2479,39.83998,1111027381423,"2016-03-04",1,14,123,25988,47.33,1,0,1,1,22,"Plate/Tower",2007,"Other","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",39342
"29642",29642,116.235582,39.88187,1111045501689,"2016-08-30",7,0,308,38500,80,2,1,1,1,34,"Plate/Tower",2013,"Other","Steel/Concrete",0.25,"No_elevator","Ownership > 5y","No_Subway","FengTai",44275
"29689",29689,116.422403,39.987661,1111027380736,"2016-09-23",30,38,565,56348,100.27,2,2,1,2,12,"Plate/Tower",1995,"Hardcover","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",69186
"228336",228336,116.3557,40.01918,1111027381533,"2012-09-16",7,0,420,31426,133.65,3,2,1,2,15,"Plate",2004,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",76934
"273055",273055,116.6989,39.94211,1111027382618,"2015-12-18",7,7,183,20955,87.33,2,1,1,1,6,"Plate",2003,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","TongZhou",39020
"111851",111851,116.431552,40.082903,1111027380040,"2016-04-04",7,20,363,27484,132.08,3,2,1,2,18,"Plate",2005,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChangPing",36869
"127718",127718,116.609957,39.91983,1111027375945,"2013-01-13",7,0,223,24847,89.75,2,2,1,1,28,"Plate/Tower",2009,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",54263
"277859",277859,116.3917,39.97879,1111027382272,"2012-12-11",7,0,259,42669,60.7,2,1,1,1,6,"Plate",1989,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","XiCheng",121898
"36992",36992,116.479017,39.950244,1111027382757,"2016-10-10",20,10,409,64849,63.07,2,1,1,1,6,"Plate",1983,"Simplicit","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","ChaoYang",69881
"265764",265764,116.6427,39.93238,1111027379776,"2012-02-08",7,0,125,14626,85.47,2,1,1,1,6,"Plate",2003,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","TongZhou",42930
"24799",24799,116.473376,39.875385,1111027374248,"2016-08-14",9,10,320,40760,78.51,2,1,1,1,22,"Tower",1998,"Hardcover","Steel/Concrete",0.167,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",54612
"284203",284203,116.3893,39.88687,1111027376481,"2014-09-14",7,4,263,47525,55.34,1,1,1,1,14,"Plate/Tower",2004,"Simplicit","Steel/Concrete",0.143,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",91507
"87073",87073,116.250886,40.225155,1111027378942,"2017-12-05",28,21,315.5,35906,87.87,2,1,1,1,19,"Tower",2003,"Other","Steel/Concrete",0.235,"Has_Elevator","Ownership > 5y","Has_Subway","ChangPing",38208
"155856",155856,116.481385,39.874867,1111027378657,"2015-05-02",7,4,227.5,31563,72.08,2,2,1,1,6,"Plate",1995,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",59744
"166117",166117,116.58468,39.935758,1111027378712,"2015-09-12",1,3,185,35625,51.93,1,1,1,1,11,"Plate",2007,"Hardcover","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",59730
"187245",187245,116.450191,39.892069,1111027375737,"2014-01-03",7,2,630,49993,126.02,3,2,1,1,4,"Plate",1976,"Other","Mixed",1,"No_elevator","Ownership < 5y","No_Subway","DongCheng",86257
"211537",211537,116.4076,39.81387,1111027378659,"2013-03-23",1,0,75,12515,59.93,2,1,1,1,6,"Plate",1996,"Other","Mixed",0.125,"No_elevator","Ownership > 5y","No_Subway","FengTai",42163
"292552",292552,116.3863,39.88841,1111027379516,"2016-03-04",1,42,449,75109,59.78,2,1,1,1,6,"Plate",1996,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",104198
"222006",222006,116.403,39.85979,1111027382519,"2015-12-13",7,2,334,28296,118.04,2,1,1,2,16,"Tower",2002,"Simplicit","Steel/Concrete",0.4,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",50527
"104108",104108,116.311776,40.084907,1111027375926,"2015-06-15",7,31,248,26817,92.48,2,1,1,1,10,"Plate/Tower",2005,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChangPing",44513
"86534",86534,116.464936,39.911052,1111027377425,"2017-12-13",43,54,720,53381,134.88,2,1,1,1,31,"Tower",2005,"Other","Steel/Concrete",0.6,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",51746
"189349",189349,116.429963,39.963815,1111027375199,"2014-11-29",7,0,500,56851,87.95,2,1,1,1,21,"Tower",2006,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",94271
"208705",208705,116.306494,39.841008,1111027381705,"2012-12-05",7,0,192,30156,63.67,2,1,1,1,6,"Plate",1990,"Other","Steel/Concrete",0.5,"No_elevator","Ownership > 5y","Has_Subway","FengTai",60244
"189179",189179,116.416894,39.894994,1111027377499,"2015-03-09",7,10,310,50481,61.41,2,1,1,1,5,"Plate/Tower",2002,"Hardcover","Steel/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","DongCheng",82541
"61395",61395,116.540574,39.970252,1111027379386,"2017-02-28",14,85,728,78848,92.33,3,1,1,1,6,"Plate",2009,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",62634
"265763",265763,116.7032,39.91102,1111027381727,"2012-02-25",7,0,185,14432,128.19,3,2,1,2,28,"Tower",2009,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","TongZhou",57333
"270330",270330,116.7113,39.9184,1111027377937,"2014-11-29",7,1,285,16483,172.91,4,2,1,2,12,"Plate",2005,"Simplicit","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","TongZhou",45161
"259457",259457,116.6484,40.13757,1111027381324,"2012-07-21",7,0,67.5,13596,49.65,1,1,1,1,6,"Plate",1993,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","MenTouGou",39215
"113601",113601,116.505017,39.928801,1111027376019,"2011-12-31",7,0,100,20934,47.77,1,1,1,1,18,"Tower",1988,"Other","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",54318
"271361",271361,116.6672,39.88523,1111027381818,"2015-07-05",7,2,143,20846,68.6,2,1,1,1,6,"Plate",1996,"Simplicit","Mixed",0.333,"No_elevator","Ownership > 5y","No_Subway","TongZhou",37527
"273448",273448,116.7037,39.95821,1111027379259,"2016-02-18",1,1,225,21419,105.05,3,2,1,1,6,"Plate",1994,"Simplicit","Brick/Concrete",0.5,"No_elevator","Ownership > 5y","No_Subway","TongZhou",32117
"5470",5470,116.393462,39.983417,1111027381551,"2016-10-11",171,68,1230,44405,277,4,1,1,3,11,"Plate/Tower",2002,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",45596
"254604",254604,116.2338,39.90686,1111027381888,"2014-07-03",7,10,163,24913,65.43,2,1,1,1,6,"Plate",1996,"Simplicit","Mixed",0.25,"No_elevator","Ownership < 5y","No_Subway","ShiJingShan",49154
"106824",106824,116.338639,40.079333,1111027378111,"2015-11-06",1,0,230,23675,97.15,2,1,1,1,6,"Plate",2003,"Other","Mixed",0.091,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",40638
"210603",210603,116.2387,39.854,1111027377844,"2013-02-18",7,0,155,22464,69,2,1,1,1,6,"Plate",1994,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","FengTai",43463
"167823",167823,116.477581,39.953739,1111027382733,"2015-11-30",1,17,330,44499,74.16,3,1,1,1,18,"Tower",1992,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",68599
"12374",12374,116.419162,40.031546,1111027379663,"2016-08-13",60,12,723,52396,137.99,3,2,1,2,31,"Plate",2007,"Simplicit","Steel/Concrete",0.667,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",69760
"60672",60672,116.348379,39.898284,1111027380894,"2017-02-22",10,71,685,90085,76.04,2,1,1,1,28,"Tower",2002,"Simplicit","Steel/Concrete",0.231,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",80976
"173706",173706,116.458952,39.939635,1111027379456,"2016-03-18",1,22,425.5,50000,85.1,2,1,1,1,4,"Plate",1975,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",65720
"240059",240059,116.3172,39.94643,1111027376646,"2015-04-13",7,34,350,44081,79.4,3,1,1,1,17,"Tower",1984,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",78256
"225357",225357,116.3256,40.04947,1111027376795,"2011-09-18",7,0,128.4,27769,46.24,1,0,1,1,12,"Plate/Tower",2002,"Other","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",70486
"94920",94920,116.416572,40.063191,1111027375135,"2013-03-20",7,0,230,42736,53.82,2,1,1,2,11,"Plate/Tower",2010,"Other","Steel/Concrete",0.2,"Has_Elevator","Ownership < 5y","Has_Subway","ChangPing",45854
"159724",159724,116.612765,39.905006,1111027374043,"2015-07-12",1,1,285,23658,120.47,2,2,1,1,15,"Plate/Tower",2005,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",45447
"202667",202667,116.371423,39.803826,1111027380074,"2015-11-30",1,2,183,25609,71.46,2,1,1,1,6,"Plate",1997,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","FaXing",41055
"1231",1231,116.378537,39.879671,1111027378981,"2016-06-22",120,31,710,77208,91.96,2,1,1,1,18,"Plate/Tower",2003,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",93400
"54441",54441,116.41449,39.879802,1111027381584,"2017-02-11",44,170,377,76394,49.35,2,0,1,1,6,"Plate",1970,"Hardcover","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","DongCheng",71858
"18655",18655,116.636774,39.918867,1111027381072,"2016-07-21",11,6,210,28564,73.52,2,1,1,1,6,"Plate",1999,"Simplicit","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","TongZhou",35854
"264728",264728,116.67,40.19015,1111027378015,"2016-03-15",1,5,326.2,27708,117.73,3,2,1,2,14,"Plate",2012,"Other","Steel/Concrete",0.667,"Has_Elevator","Ownership > 5y","No_Subway","MenTouGou",37328
"44993",44993,116.482231,40.009521,1111027380322,"2016-12-13",43,80,535,53076,100.8,2,1,1,1,28,"Tower",1999,"Other","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",66864
"22266",22266,116.409861,40.042394,1111027379363,"2016-07-29",3,0,445,48902,91,2,1,1,1,13,"Plate",2003,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",57090
"168167",168167,116.445628,40.0364,1111027375924,"2015-11-21",7,12,158,39412,40.09,1,0,1,1,10,"Plate/Tower",2003,"Hardcover","Steel/Concrete",0.095,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",56733
"164233",164233,116.518485,39.948841,1111027377510,"2015-11-13",1,1,155,41533,37.32,1,0,1,1,9,"Plate/Tower",2007,"Other","Steel/Concrete",0.143,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",71193
"121286",121286,116.512916,39.864254,1111027376354,"2012-06-28",7,0,262,21277,123.14,3,2,1,2,6,"Plate",2004,"Other","Brick/Concrete",0.5,"No_elevator","Ownership > 5y","No_Subway","ChaoYang",46072
"118557",118557,116.503568,39.916109,1111027377081,"2012-07-04",7,0,320,37379,85.61,2,1,1,1,17,"Plate",2009,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",83975
"279635",279635,116.3529,39.88923,1111027374483,"2013-04-07",7,3,197,38964,50.56,2,1,1,1,6,"Plate",1980,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","XiCheng",79570
"199777",199777,116.435763,39.798071,1111027379000,"2014-07-13",7,0,222,24930,89.05,2,1,1,1,10,"Plate/Tower",2010,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership > 5y","No_Subway","FengTai",43366
"269670",269670,116.6761,39.88757,1111027375554,"2014-08-23",7,7,206,22240,92.63,2,2,1,1,15,"Plate",2005,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","TongZhou",45024
"76933",76933,116.513137,39.978272,1111027377589,"2017-09-07",71,75,750,79551,94.28,2,1,1,1,9,"Plate",2005,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",73113
"159116",159116,116.504397,39.92941,1111027376016,"2015-07-05",1,8,198,33685,58.78,2,1,1,1,6,"Plate",1995,"Simplicit","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChaoYang",56893
"118303",118303,116.460032,39.879667,1111027375352,"2012-03-23",7,0,93.5,20955,44.62,1,1,1,1,6,"Plate",1993,"Other","Mixed",0.125,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",55722
"214979",214979,116.2548,39.89915,1111027380679,"2014-11-16",1,6,276,30712,89.87,2,2,1,1,26,"Tower",2007,"Hardcover","Steel/Concrete",0.3,"Has_Elevator","Ownership < 5y","No_Subway","FengTai",47726
"163088",163088,116.568799,39.853078,1111027374302,"2015-10-11",1,55,460,30093,152.86,3,2,1,2,18,"Plate",2009,"Simplicit","Steel/Concrete",0.667,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",48907
"21629",21629,116.334602,39.972618,1111027378885,"2016-07-31",8,6,299,70988,42.12,1,1,1,1,17,"Plate/Tower",1992,"Simplicit","Steel/Concrete",0.129,"Has_Elevator","Ownership > 5y","Has_Subway","HaiDian",82987
"149422",149422,116.413174,39.972706,1111027375600,"2014-10-23",7,1,360,45530,79.07,3,1,1,1,18,"Tower",1989,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","ChaoYang",72460
"236639",236639,116.3295,39.97783,1111027379678,"2014-07-05",7,2,270,48914,55.2,2,1,1,1,16,"Tower",1986,"Simplicit","Steel/Concrete",0.222,"Has_Elevator","Ownership < 5y","Has_Subway","HaiDian",91577
"142424",142424,116.47792,39.932306,1111046810358,"2014-08-02",7,2,223,36769,60.65,2,1,1,1,6,"Plate",1980,"Simplicit","Steel/Concrete",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",66854
"296157",296157,116.5469,39.75524,1111027377053,"2016-03-23",1,11,439,27450,159.93,3,2,1,3,5,"Plate",2008,"Hardcover","Steel/Concrete",0.25,"No_elevator","Ownership < 5y","No_Subway","DaXing",36545
"55671",55671,116.351631,39.899035,1111027379925,"2017-01-18",13,9,390,93593,41.67,1,1,1,1,5,"Plate",1991,"Simplicit","Mixed",0.2,"No_elevator","Ownership > 5y","Has_Subway","XiCheng",90624
"147078",147078,116.453628,39.94669,1111027374731,"2015-02-09",7,3,143,36592,39.08,1,1,1,1,16,"Tower",2005,"Hardcover","Steel/Concrete",0.167,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",74639
"124241",124241,116.455926,39.945052,1111027380701,"2012-10-28",7,0,220,38726,56.81,2,1,1,1,6,"Plate",1982,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","ChaoYang",71853
"187910",187910,116.415784,39.870977,1111027373909,"2014-07-01",7,2,248,36348,68.23,1,1,1,1,11,"Plate/Tower",2005,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",73209
"21989",21989,116.428467,39.902511,1111027380931,"2016-08-06",13,35,735,80717,91.06,3,1,1,1,14,"Plate/Tower",2004,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",87809
"101739",101739,116.43942,40.072066,1111027380051,"2015-02-09",1,11,221,13970,158.2,3,2,1,2,6,"Plate",2001,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",40934
"16301",16301,116.400293,39.887135,1111027378625,"2016-09-12",74,10,480,81233,59.09,2,1,1,1,6,"Plate",1980,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","XiCheng",98264
"89660",89660,116.119651,39.934504,1111027382024,"2013-01-22",1,0,170,18750,90.67,2,1,0,1,6,"Plate",2003,"Hardcover","Mixed",0.5,"No_elevator","Ownership > 5y","No_Subway","ShunYi",39294
"116751",116751,116.572788,39.857682,1111027376385,"2012-03-27",7,0,75,13458,55.73,1,1,1,1,18,"Plate",2011,"Other","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","No_Subway","ChaoYang",40311
"47212",47212,116.359841,39.962265,1111027378266,"2016-12-30",46,48,355,95946,37,1,1,1,1,5,"Plate",1988,"Hardcover","Mixed",0.333,"No_elevator","Ownership > 5y","No_Subway","HaiDian",81208
"246413",246413,116.3678,39.95957,1111027377061,"2015-12-27",1,57,509,56312,90.39,2,2,1,1,25,"Tower",2001,"Hardcover","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","No_Subway","HaiDian",85478
"270523",270523,116.6326,39.91374,1111027376534,"2015-03-29",7,7,153,23088,66.27,1,1,1,1,9,"Plate",2002,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership < 5y","Has_Subway","TongZhou",39787
"51348",51348,116.360016,39.939659,1111027375999,"2016-12-18",8,84,561,92881,60.4,2,1,1,1,14,"Plate/Tower",1993,"Simplicit","Mixed",0.667,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",96915
"24487",24487,116.498241,39.971858,1111027377050,"2016-08-04",1,0,201,41248,48.73,1,0,1,1,21,"Plate/Tower",2006,"Hardcover","Steel/Concrete",0.125,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",55275
"74025",74025,116.324898,39.891441,1111027379964,"2017-07-16",56,167,385,68750,56,2,1,1,1,6,"Plate",1990,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","Has_Subway","FengTai",62231
"50472",50472,116.343245,39.900529,1111027378998,"2017-02-14",72,116,305,115706,26.36,1,0,1,1,26,"Tower",2006,"Other","Steel/Concrete",0.111,"Has_Elevator","Ownership > 5y","Has_Subway","XiCheng",92360
"232356",232356,116.2964,40.03976,1111027377498,"2013-04-26",7,3,255,36691,69.5,2,1,1,1,6,"Plate",1996,"Other","Mixed",0.333,"No_elevator","Ownership > 5y","No_Subway","HaiDian",64432
"58929",58929,116.419618,39.845427,1111027376424,"2017-02-15",10,14,544,61414,88.58,2,2,1,1,22,"Plate/Tower",2005,"Simplicit","Steel/Concrete",0.4,"Has_Elevator","Ownership > 5y","No_Subway","FengTai",57313
"194508",194508,116.434391,39.919211,1111027374052,"2016-05-22",7,9,455,78925,57.65,2,1,1,1,6,"Plate",1988,"Simplicit","Brick/Concrete",0.5,"No_elevator","Ownership < 5y","Has_Subway","DongCheng",89912
"294111",294111,116.3773,39.88371,1111027378049,"2016-03-29",7,4,690,70502,97.87,3,1,1,1,18,"Tower",1997,"Other","Steel/Concrete",0.375,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",99267
"211514",211514,116.3763,39.86556,1111027376473,"2013-03-27",7,0,228,36864,61.85,2,1,1,1,6,"Plate",1996,"Other","Brick/Concrete",0.25,"No_elevator","Ownership < 5y","Has_Subway","FengTai",59414
"287498",287498,116.3369,39.89351,1111027378335,"2015-04-26",7,5,290,48237,60.12,2,1,1,1,6,"Plate",1997,"Hardcover","Mixed",0.333,"No_elevator","Ownership > 5y","Has_Subway","XiCheng",82437
"88742",88742,116.37913,39.887761,1111027378771,"2017-12-20",11,25,557,87758,63.47,2,1,1,1,9,"Plate",2000,"Other","Steel/Concrete",1,"Has_Elevator","Ownership < 5y","Has_Subway","XiCheng",91902
"183480",183480,116.462185,39.884984,1111027378741,"2016-06-08",7,4,358,42906,83.44,3,1,1,1,18,"Tower",1997,"Simplicit","Steel/Concrete",0.25,"Has_Elevator","Ownership < 5y","Has_Subway","ChaoYang",55151
"96349",96349,116.351869,40.093821,1111027377892,"2013-06-03",7,1,300,25752,116.5,3,2,1,1,6,"Plate",2004,"Other","Mixed",0.5,"No_elevator","Ownership > 5y","Has_Subway","ChangPing",47153
"237300",237300,116.3756,40.0421,1111027376090,"2014-07-15",7,0,421,25073,167.91,3,2,1,2,5,"Plate",2000,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","HaiDian",64452
"25054",25054,116.309984,39.96579,1111027376611,"2016-08-08",3,8,358,84634,42.3,1,1,1,1,6,"Plate",1989,"Simplicit","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","HaiDian",88754
"279523",279523,116.3899,39.95964,1111027377019,"2013-03-27",7,0,388,55508,69.9,2,1,1,1,6,"Plate",2000,"Other","Mixed",0.5,"No_elevator","Ownership < 5y","Has_Subway","XiCheng",136073
"112358",112358,116.425304,40.112553,1111027378310,"2016-05-29",7,22,249,29192,85.3,2,1,1,1,6,"Plate",2005,"Hardcover","Mixed",0.5,"No_elevator","Ownership < 5y","No_Subway","ChangPing",41888
"280662",280662,116.3658,39.87922,1111027381504,"2013-08-16",7,0,260,41468,62.7,2,1,1,1,6,"Plate",1999,"Other","Mixed",0.333,"No_elevator","Ownership < 5y","No_Subway","XiCheng",94477
"80593",80593,116.609957,39.91983,1111027375945,"2017-11-13",92,66,531,52596,100.96,2,1,1,1,28,"Plate/Tower",2006,"Hardcover","Steel/Concrete",0.5,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",54263
"123764",123764,116.446047,39.964131,1111027377814,"2012-10-04",7,0,254.5,31132,81.75,2,1,1,1,18,"Tower",1987,"Other","Steel/Concrete",0.286,"Has_Elevator","Ownership > 5y","Has_Subway","ChaoYang",69318
"222135",222135,116.4021,39.85714,1111027382518,"2016-02-25",7,10,150,26710,56.16,1,0,1,1,23,"Plate/Tower",2007,"Other","Steel/Concrete",0.333,"Has_Elevator","Ownership > 5y","Has_Subway","FengTai",49710
"186100",186100,116.429949,39.963187,1111027375202,"2013-05-20",7,2,295.8,58183,50.84,1,1,1,1,18,"Tower",1993,"Other","Steel/Concrete",0.286,"Has_Elevator","Ownership < 5y","Has_Subway","DongCheng",97649
"32743",32743,116.405333,39.816466,1111027378662,"2016-09-18",14,146,230,42420,54.22,1,1,1,1,6,"Plate",2000,"Simplicit","Mixed",0.25,"No_elevator","Ownership > 5y","No_Subway","FengTai",43943
"274020",274020,116.6816,39.93453,1111027374827,"2016-05-29",1,4,340,36516,93.11,2,2,1,1,14,"Plate/Tower",2009,"Hardcover","Steel/Concrete",0.333,"Has_Elevator","Ownership < 5y","No_Subway","TongZhou",45887
